date,Text,Clean_text,Verdict
1960-09-26,"And in that connection I again would say that while Senator Kennedy says we are for the status quo, I do believe that he uh - would agree that I am just as sincere in believing that my proposals for federal aid to education, my proposals for health care are just as sincerely held as his.",connection would say senator kennedy says status quo believe uh would agree sincere believing proposals federal aid education proposals health care sincerely held,-1
1960-09-26,"And, in this connection, I think that uh - we must look to the future having in mind the fact that we fight Communism at home not only by our laws to deal with Communists uh - the few who do become Communists and the few who do become tra- fellow travelers, but we also fight Communism at home by moving against those various injustices which exist in our society which the Communists feed upon.",connection think uh must look future mind fact fight communism home laws deal communists uh become communists become tra fellow travelers also fight communism home moving various injustices exist society communists feed upon,-1
1960-09-26,We uphold the standards of conduct which they would never follow.,uphold standards conduct would never follow,-1
1960-09-26,It is also essential in being alert that we be fair; fair because by being fair we uphold the very freedoms that the Communists would destroy.,also essential alert fair fair fair uphold freedoms communists would destroy,-1
1960-09-26,"We have to remember that the cold war that Mr. Khrushchev is waging and his colleagues are waging, is waged all over the world and it's waged right here in the United States.",remember cold war mr khrushchev waging colleagues waging waged world waged right united states,0
1960-09-26,It is one that will continue to be a problem for years to come.,one continue problem years come,-1
1960-09-26,The question of Communism within the United States has been one that has worried us in the past.,question communism within united states one worried us past,-1
1960-09-26,I agree with Senator Kennedy's appraisal generally in this respect.,agree senator kennedy appraisal generally respect,-1
1960-09-26,The major threat is external and will continue.,major threat external continue,-1
1960-09-26,"I think if the United States is maintaining a strong society here in the United States, I think that we can meet any internal threat.",think united states maintaining strong society united states think meet internal threat,-1
1960-09-26,"We should sustain uh - the Department of Justice in its efforts and the F.B.I., and we should be continually alert.",sustain uh department justice efforts f b continually alert,-1
1960-09-26,We should support uh - the laws which the United States has passed in order to protect us from uh - those who would destroy us from within.,support uh laws united states passed order protect us uh would destroy us within,-1
1960-09-26,I think it's a matter that we should continue to uh - give uh - great care and attention to.,think matter continue uh give uh great care attention,-1
1960-09-26,The other party gives them lip service.,party gives lip service,-1
1960-09-26,We have for example a gross national product of approximately five hundred billion dollars.,example gross national product approximately five hundred billion dollars,1
1960-09-26,"Whenever a majority of the people are for a program, the House and the Senate responds to it.",whenever majority people program house senate responds,1
1960-09-26,"I would say that a president will be able to lead - a president will be able to get his program through - to the effect that he has the support of the country, the support of the people.",would say president able lead president able get program effect support country support people,-1
1960-09-26,It's something to build on.,something build,-1
1960-09-26,"And in building on this record, I believe that we have the secret for progress, we know the way to progress.",building record believe secret progress know way progress,-1
1960-09-26,"And I think, first of all, our own record proves that we know the way.",think first record proves know way,-1
1960-09-26,Senator Kennedy has suggested that he believes he knows the way.,senator kennedy suggested believes knows way,0
1960-09-26,I respect the sincerity which he m- which he makes that suggestion.,respect sincerity makes suggestion,-1
1960-09-26,"But on the other hand, when we look at the various programs that he offers, they do not seem to be new.",hand look various programs offers seem new,-1
1960-09-26,They seem to be simply retreads of the programs of the Truman Administration which preceded it.,seem simply retreads programs truman administration preceded,0
1960-09-26,"And I would suggest that during the course of the evening he might indicate those areas in which his programs are new, where they will mean more progress than we had then.",would suggest course evening might indicate areas programs new mean progress,-1
1960-09-26,"We are for programs that will expand educational opportunities, that will give to all Americans their equal chance for education, for all of the things which are necessary and dear to the hearts of our people.",programs expand educational opportunities give americans equal chance education things necessary dear hearts people,-1
1960-09-26,"We are for programs, in addition, which will see that our medical care for the aged are - is - are much - is much better handled than it is at the present time.",programs addition see medical care aged much much better handled present time,-1
1960-09-26,"Here again, may I indicate that Senator Kennedy and I are not in disagreement as to the aims.",may indicate senator kennedy disagreement aims,-1
1960-09-26,We both want to help the old people.,want help old people,-1
1960-09-26,We want to see that they do have adequate medical care.,want see adequate medical care,-1
1960-09-26,The question is the means.,question means,-1
1960-09-26,"I could give better examples, but for - for whatever it is, whether it's in the field of housing, or health, or medical care, or schools, or the eh- development of electric power, we have programs which we believe will move America, move her forward and build on the wonderful record that we have made over these past seven and a half years.",could give better examples whatever whether field housing health medical care schools eh development electric power programs believe move america move forward build wonderful record made past seven half years,-1
1960-09-26,"Now, when we look at these programs, might I suggest that in evaluating them we often have a tendency to say that the test of a program is how much you're spending.",look programs might suggest evaluating often tendency say test program much spending,-1
1960-09-26,I will concede that in all the areas to which I have referred Senator Kennedy would have the spe- federal government spend more than I would have it spend.,concede areas referred senator kennedy would spe federal government spend would spend,-1
1960-09-26,A record is never something to stand on.,record never something stand,-1
1960-09-26,Sometimes we - we get the opinion that in getting programs through the House or the Senate it's purely a question of legislative finagling and all that sort of thing.,sometimes get opinion getting programs house senate purely question legislative finagling sort thing,-1
1960-09-26,"But, good as this record is, may I emphasize it isn't enough.",good record may emphasize enough,-1
1960-09-26,We offered an amendment to do so.,offered amendment,1
1960-09-26,"We cannot, of course, control the Senate.",cannot course control senate,-1
1960-09-26,"Uh - We would hope to control the House, to get a majority in the House uh - in this election.",uh would hope control house get majority house uh election,-1
1960-09-26,"I would say this; that we, of course, expect to pick up some seats in both in the House and the Senate.",would say course expect pick seats house senate,-1
1960-09-26,"And I am convinced that the alternate proposals that I have, that the Republicans have in the field of health, in the field of education, in the field of welfare, because they are not extreme, because they will accomplish the end uh - without too great cost in dollars or in freedom, that they could get through the next Congress.",convinced alternate proposals republicans field health field education field welfare extreme accomplish end uh without great cost dollars freedom could get next congress,-1
1960-09-26,It was because they were too extreme.,extreme,-1
1960-09-26,The reason why these particular bills in these various fields that have been mentioned were not passed was not because the President was against them; it was because the people were against them.,reason particular bills various fields mentioned passed president people,-1
1960-09-26,If the majority of the members of the Congress felt that these particular proposals were good issues - the majority of those who were Democrats - why didn't they pass them and send to the President and get a veto and have an issue?,majority members congress felt particular proposals good issues majority democrats pass send president get veto issue,-1
1960-09-26,"When the president exercises his veto power, he has to have the people upo- behind him, not just a third of the Congress.",president exercises veto power people upo behind third congress,-1
1960-09-26,I would say further that to blame the President in his veto power for the inability of the Senator and his colleagues to get action in this special session uh - misses the mark.,would say blame president veto power inability senator colleagues get action special session uh misses mark,-1
1960-09-26,It would seem to me again that it is very difficult to blame the four Republicans for the eight Democrats' not getting a something through that particular committee.,would seem difficult blame four republicans eight democrats getting something particular committee,-1
1960-09-26,"I would say, too, that when Senator Kennedy refers to the action of the House Rules Committee, there are eight Democrats on that committee and four Republicans.",would say senator kennedy refers action house rules committee eight democrats committee four republicans,1
1960-09-26,"First of all, I don't see how it's possible for a one-third of a body, such as the Republicans have in the House and the Senate to stop two-thirds, if the two-thirds are adequately led.",first see possible one third body republicans house senate stop two thirds two thirds adequately led,-1
1960-09-26,Well obviously my views are a little different.,well obviously views little different,-1
1960-09-26,"But if you send a Republican president and a Democratic majority and the threat of a veto hangs over the Congress, in my judgment you will continue what happened in the August session, which is a clash of parties and inaction.",send republican president democratic majority threat veto hangs congress judgment continue happened august session clash parties inaction,-1
1960-09-26,"In my judgment, a vigorous Democratic president supported by a Democratic majority in the House and Senate can win the support for these programs.",judgment vigorous democratic president supported democratic majority house senate win support programs,-1
1960-09-26,And we were informed at the time it came to a vote that if it was adopted the President of the United States would veto it.,informed time came vote adopted president united states would veto,1
1960-09-26,"Forty-four Democrats voted for it, one Republican voted for it.",forty four democrats voted one republican voted,1
1960-09-26,We wanted to tie it to Social Security.,wanted tie social security,1
1960-09-26,I costed out the cost of the Democratic platform.,costed cost democratic platform,-1
1960-09-26,Roughly a hundred billion to a hundred and a quarter billion of that is the result of government activity.,roughly hundred billion hundred quarter billion result government activity,1
1960-09-26,That is the growth that we are looking for; it is the growth that this Administration has supported and that its policies have stimulated.,growth looking growth administration supported policies stimulated,-1
1960-09-26,I'm not satisfied until every American enjoys his full constitutional rights.,satisfied every american enjoys full constitutional rights,-1
1960-09-26,I'm not satisfied to have fifty percent of our steel-mill capacity unused.,satisfied fifty percent steel mill capacity unused,1
1960-09-26,"This is a great country, but I think it could be a greater country; and this is a powerful country, but I think it could be a more powerful country.",great country think could greater country powerful country think could powerful country,-1
1960-09-26,This means that the average family income went up fifteen per cent in the Eisenhower years as against two per cent in the Truman years.,means average family income went fifteen per cent eisenhower years two per cent truman years,1
1960-09-26,"And it is to that great task, if we're successful, that we will address ourselves.",great task successful address,-1
1960-09-26,I think we're ready to move.,think ready move,-1
1960-09-26,"That's the question before the American people, and only you can decide what you want, what you want this country to be, what you want to do with the future.",question american people decide want want country want future,-1
1960-09-26,I want them to say these were the years when the tide came in; these were the years when the United States started to move again.,want say years tide came years united states started move,-1
1960-09-26,"And I don't want historians, ten years from now, to say, these were the years when the tide ran out for the United States.",want historians ten years say years tide ran united states,-1
1960-09-26,"If we fail, if we fail to move ahead, if we fail to develop sufficient military and economic and social strength here in this country, then I think that uh - the tide could begin to run against us.",fail fail move ahead fail develop sufficient military economic social strength country think uh tide could begin run us,-1
1960-09-26,And if we meet our responsibilities I think freedom will conquer.,meet responsibilities think freedom conquer,-1
1960-09-26,"As I said at the beginning, the question before us all, that faces all Republicans and all Democrats, is: can freedom in the next generation conquer, or are the Communists going to be successful?",said beginning question us faces republicans democrats freedom next generation conquer communists going successful,-1
1960-09-26,"But if you feel that we have to move again in the sixties, that the function of the president is to set before the people the unfinished business of our society as Franklin Roosevelt did in the thirties, the agenda for our people - what we must do as a society to meet our needs in this country and protect our security and help the cause of freedom.",feel move sixties function president set people unfinished business society franklin roosevelt thirties agenda people must society meet needs country protect security help cause freedom,-1
1960-09-26,I think you should vote for Mr. Nixon.,think vote mr nixon,-1
1960-09-26,"If you feel that everything that is being done now is satisfactory, that the relative power and prestige and strength of the United States is increasing in relation to that of the Communists; that we've b- gaining more security, that we are achieving everything as a nation that we should achieve, that we are achieving a better life for our citizens and greater strength, then I agree.",feel everything done satisfactory relative power prestige strength united states increasing relation communists b gaining security achieving everything nation achieve achieving better life citizens greater strength agree,-1
1960-09-26,The means are at question.,means question,-1
1960-09-26,"Thirdly, I think the question before the American people is: as they look at this country and as they look at the world around them, the goals are the same for all Americans.",thirdly think question american people look country look world around goals americans,-1
1960-09-26,That is the obligation upon our generation.,obligation upon generation,-1
1960-09-26,"In August of 1960, when we tried to get it again, but this time for medical care, we received the support of one Republican in the Senate on this occasion.",august tried get time medical care received support one republican senate occasion,1
1960-09-26,Is the United States standing still?,united states standing still,-1
1960-09-26,I think that the means that I advocate will reach that goal better than the means that he advocates.,think means advocate reach goal better means advocates,-1
1960-09-26,The Kerr bill provided assistance to all those who were not on Social Security.,kerr bill provided assistance social security,1
1960-09-26,But it is also essential that he not allow a dollar spent that could be better spent by the people themselves.,also essential allow dollar spent could better spent people,-1
1960-09-26,And I stand for programs that will mean growth and progress.,stand programs mean growth progress,-1
1960-09-26,"I think that's the big assignment, the big task, the big function of the federal government.",think big assignment big task big function federal government,-1
1960-09-26,"Now, the reason the Eisenhower Administration has moved, the reason that we've had the funds, for example, locally to build the schools, and the hospitals, and the highways, to make the progress that we have, is because this Administration has encouraged individual enterprise; and it has resulted in the greatest expansion of the private sector of the economy that has ever been witnessed in an eight-year period.",reason eisenhower administration moved reason funds example locally build schools hospitals highways make progress administration encouraged individual enterprise resulted greatest expansion private sector economy ever witnessed eight year period,1
1960-09-26,Now that isn't the test of whether America moves.,test whether america moves,-1
1960-09-26,That's why we have to continue to be alert.,continue alert,-1
1960-09-26,Every Republican on the Rules Committee voted against sending that bill to be considered by the members of the House of Representatives.,every republican rules committee voted sending bill considered members house representatives,1
1960-09-26,And I might say that two-thirds of the Republicans in the House voted against a dollar twenty-five cent minimum wage and a majority of the Democrats sustained it - nearly two-thirds of them voted for the dollar twenty-five.,might say two thirds republicans house voted dollar twenty five cent minimum wage majority democrats sustained nearly two thirds voted dollar twenty five,1
1960-09-26,My objection here is not the cost in dollars.,objection cost dollars,-1
1960-09-26,Why did Senator Kennedy take that position then?,senator kennedy take position,-1
1960-09-26,"As far as aid for school construction is concerned, I favor that, as Senator Kennedy did, in January of this year, when he said he favored that rather than aid to s- teacher salaries.",far aid school construction concerned favor senator kennedy january year said favored rather aid teacher salaries,1
1960-09-26,Uh - I can only say that my experience is there for the people to consider; Senator Kennedy's is there for the people to consider.,uh say experience people consider senator kennedy people consider,-1
1960-09-26,I of course disagree with Senator Kennedy insofar as his suggestions as to what should be done uh - with re- on the farm program.,course disagree senator kennedy insofar suggestions done uh farm program,-1
1960-09-26,In my judgment the only policy that will work will be for effective supply and demand to be in balance.,judgment policy work effective supply demand balance,-1
1960-09-26,"Well, the Vice President and I came to the Congress together 1946; we both served in the Labor Committee.",well vice president came congress together served labor committee,0
1960-09-26,Because it isn't a question of how much the federal government spends; it isn't a question of which government does the most.,question much federal government spends question government,-1
1960-09-26,What kind of programs are we for?,kind programs,-1
1960-09-26,"Four hundred billion, approximately, is a result of what individuals do.",four hundred billion approximately result individuals,1
1960-09-26,Mr. Landon ran in 1936 to repeal it.,mr landon ran repeal,1
1960-09-26,I think it's a very clear contrast.,think clear contrast,-1
1960-09-26,And we have to get the very most of uh - out uh - out of our economy.,get uh uh economy,-1
1960-09-26,Not at all Because these are determined men.,determined men,-1
1960-09-26,Is this any reason for complacency?,reason complacency,-1
1960-09-26,"And as far as the absolute gap is concerned, we find that the United States is even further ahead than it was twenty years ago.",far absolute gap concerned find united states even ahead twenty years ago,1
1960-09-26,That's the same percentage that it was twenty years ago.,percentage twenty years ago,1
1960-09-26,"Although they have been moving faster in growth than we have, we find, for example, today that their total gross national product is only forty-four per cent of our total gross national product.",although moving faster growth find example today total gross national product forty four per cent total gross national product,1
1960-09-26,They start from a much lower base.,start much lower base,-1
1960-09-26,But the reason for that is obvious.,reason obvious,-1
1960-09-26,The Soviet Union has been moving faster than we have.,soviet union moving faster,1
1960-09-26,"First of all, I think it is well to put in perspective where we really do stand with regard to the Soviet Union in this whole matter of growth.",first think well put perspective really stand regard soviet union whole matter growth,-1
1960-09-26,"I want to compare what we're doing with what our adversaries are doing, so that by the year 1970 the United States is ahead in education, in health, in building, in homes, in economic strength.",want compare adversaries year united states ahead education health building homes economic strength,-1
1960-09-26,"It isn't enough to compare what might have been done eight years ago, or ten years ago, or fifteen years ago, or twenty years ago.",enough compare might done eight years ago ten years ago fifteen years ago twenty years ago,-1
1960-09-26,The Soviet Union is making great gains.,soviet union making great gains,-1
1960-09-26,"I think what we have to do, however, is have the president and the leadership set before our country exactly what we must do in the next decade, if we're going to maintain our security in education, in economic growth, in development of natural resources.",think however president leadership set country exactly must next decade going maintain security education economic growth development natural resources,-1
1960-09-26,And I think we have a powerful country.,think powerful country,-1
1960-09-26,"Secondly, I think we have a rich uh - country.",secondly think rich uh country,-1
1960-09-26,"Well, I must say that the reason that the schools have been constructed is because the local school districts were willing to increase the property taxes to a tremendously high figure - in my opinion, almost to the point of diminishing returns in order to sustain these schools.",well must say reason schools constructed local school districts willing increase property taxes tremendously high figure opinion almost point diminishing returns order sustain schools,1
1960-09-26,I agree with Senator Kennedy completely on that score.,agree senator kennedy completely score,-1
1960-09-26,"In 1935, when the Social Security Act was written, ninety-four out of ninety-five Republicans voted against it.",social security act written ninety four ninety five republicans voted,1
1960-09-26,Where we disagree is in the means that we would use to get the most out of our economy.,disagree means would use get economy,-1
1960-09-26,"I believe that when we examine the Democratic platform, when we examine the proposals that he has discussed tonight, when we compare them with the proposals that I have made, that these proposals that he makes would not result in greater growth for this country than would be the case if we followed the programs that I have advocated.",believe examine democratic platform examine proposals discussed tonight compare proposals made proposals makes would result greater growth country would case followed programs advocated,-1
1960-09-26,Our program was an amendment to the Kerr bill.,program amendment kerr bill,0
1960-09-26,"Secondly, the Vice President mentioned medical care for the aged.",secondly vice president mentioned medical care aged,0
1960-09-26,"I don't want to see the day when it's sixty percent of ours, and seventy and seventy-five and eighty and ninety percent of ours, with all the force and power that it could bring to bear in order to cause our destruction.",want see day sixty percent seventy seventy five eighty ninety percent force power could bring bear order cause destruction,-1
1960-09-26,I want to make sure that it stays in that relationship.,want make sure stays relationship,-1
1960-09-26,I must say that forty-four percent and that Soviet country is causing us a good deal of trouble tonight.,must say forty four percent soviet country causing us good deal trouble tonight,-1
1960-09-26,The point was made by Mr. Nixon that the Soviet production is only forty-four percent of ours.,point made mr nixon soviet production forty four percent,1
1960-09-26,It is essential that a man who's president of this country certainly stand for every program that will mean for growth.,essential man president country certainly stand every program mean growth,-1
1960-09-26,We found the people who could least afford it - people on retired incomes uh - people on fixed incomes - we found them unable to meet their bills at the end of the month.,found people could least afford people retired incomes uh people fixed incomes found unable meet bills end month,1
1960-09-26,The other point that I would make is this: this downgrading of how much things cost I think many of our people will understand better when they look at what happened when - during the Truman Administration when the government was spending more than it took in - we found savings over a lifetime eaten up by inflation.,point would make downgrading much things cost think many people understand better look happened truman administration government spending took found savings lifetime eaten inflation,1
1960-09-26,Here is one place where I think that our program does a better job than his.,one place think program better job,-1
1960-09-26,And it would not cover several million people who are not covered by Social Security at all.,would cover several million people covered social security,1
1960-09-26,"His program under Social Security, would require everybody who had Social Security to take government health insurance whether he wanted it or not.",program social security would require everybody social security take government health insurance whether wanted,1
1960-09-26,But it compels nobody to have insurance who does not want it.,compels nobody insurance want,-1
1960-09-26,It provides a choice of having either government insurance or private insurance.,provides choice either government insurance private insurance,1
1960-09-26,"Our health program - the one that Senator Javits and other Republican Senators, as well as I supported - is one that provides for all people over sixty-five who want health insurance, the opportunity to have it if they want it.",health program one senator javits republican senators well supported one provides people sixty five want health insurance opportunity want,1
1960-09-26,The one in the field of health is worth mentioning.,one field health worth mentioning,-1
1960-09-26,There are many of the points that he has made that I would like to comment upon.,many points made would like comment upon,-1
1960-09-26,"I respectfully submit that Senator Kennedy too often would rely too much on the federal government, on what it would do to solve our problems, to stimulate growth.",respectfully submit senator kennedy often would rely much federal government would solve problems stimulate growth,-1
1960-09-26,The means are at issue.,means issue,-1
1960-09-26,It runs a minimum of thirteen and two-tenths billions dollars a year more than we are presently spending to a maximum of eighteen billion dollars a year more than we're presently spending.,runs minimum thirteen two tenths billions dollars year presently spending maximum eighteen billion dollars year presently spending,1
1960-09-26,"It will cost a minimum of four billion dollars a year more, a maximum of four and nine-tenths billion dollar a year more than we're presently spending.",cost minimum four billion dollars year maximum four nine tenths billion dollar year presently spending,1
1960-09-26,"Secondly, I support federal aid to education and federal aid for teachers' salaries.",secondly support federal aid education federal aid teachers salaries,-1
1960-09-26,I think that's a good investment.,think good investment,-1
1960-09-26,I think we're going to have to do it.,think going,-1
1960-09-26,"And I think to heap the burden further on the property tax, which is already strained in many of our communities, will provide, will make sh- insure, in my opinion, that many of our children will not be adequately educated, and many of our teachers not adequately compensated.",think heap burden property tax already strained many communities provide make sh insure opinion many children adequately educated many teachers adequately compensated,-1
1960-09-26,There is no greater return to an economy or to a society than an educational system second to none.,greater return economy society educational system second none,-1
1960-09-26,"On the question of the development of natural resources, I would pay as you go in the sense that they would be balanced and the power revenues would bring back sufficient money to finance the projects, in the same way as the Tennessee Valley.",question development natural resources would pay go sense would balanced power revenues would bring back sufficient money finance projects way tennessee valley,-1
1960-09-26,I believe in the balanced budget.,believe balanced budget,-1
1960-09-26,And the only conditions under which I would unbalance the budget would be if there was a grave national emergency or a serious recession.,conditions would unbalance budget would grave national emergency serious recession,-1
1960-09-26,"Otherwise, with a steady rate of economic growth - and Mr. Nixon and Mr. Rockefeller, in their meeting, said a five per cent economic growth would bring by 1962 ten billion dollars extra in tax revenues.",otherwise steady rate economic growth mr nixon mr rockefeller meeting said five per cent economic growth would bring ten billion dollars extra tax revenues,1
1960-09-26,"Whatever is brought in, I think that we can finance essential programs within a balanced budget, if business remains orderly.",whatever brought think finance essential programs within balanced budget business remains orderly,-1
1960-09-26,"I think what Mr. Novins was referring to was not one of Senator Kennedy's speeches, but the Democratic platform, which did mention cutting the national debt.",think mr novins referring one senator kennedy speeches democratic platform mention cutting national debt,-1
1960-09-26,"I think, too, that it should be pointed out that of course it is not possible, particularly under the proposals that Senator Kennedy has advocated, either to cut the national debt or to reduce taxes.",think pointed course possible particularly proposals senator kennedy advocated either cut national debt reduce taxes,-1
1960-09-26,As a matter of fact it will be necessary to raise taxes.,matter fact necessary raise taxes,-1
1960-09-26,As Senator Kennedy points out that as far as his one proposal is concerned - the one for medical care for the aged - that that would be financed out of Social Security.,senator kennedy points far one proposal concerned one medical care aged would financed social security,1
1960-09-26,"That, however, is raising taxes for those who pay Social Security.",however raising taxes pay social security,-1
1960-09-26,He points out that he would make pay-as-you-go be the basis for our natural resources development.,points would make pay go basis natural resources development,-1
1960-09-26,"Where our natural resources development - which I also support, incidentally, however - whenever you uh - uh - in - in - uh - appropriates money for one of these projects, you have to pay now and appropriate the money and the eh- while they eventually do pay out, it doesn't mean that you - the government doesn't have to put out the money this year.",natural resources development also support incidentally however whenever uh uh uh appropriates money one projects pay appropriate money eh eventually pay mean government put money year,-1
1960-09-26,"The program which I advocated, which failed by five votes in the United States Senate, would have put medical care for the aged in Social Security, and would have been paid for through the Social Security System and the Social Security tax.",program advocated failed five votes united states senate would put medical care aged social security would paid social security system social security tax,1
1960-09-26,"And so I would say that in all of these proposals Senator Kennedy has made, they will result in one of two things: either he has to raise taxes or he has to unbalance the budget.",would say proposals senator kennedy made result one two things either raise taxes unbalance budget,-1
1960-09-26,"The program - the Javits-Nixon or the Nixon-Javits program - would have cost, if fully used uh - six hundred million dollars by the government per year, and six hundred million dollars by the state.",program javits nixon nixon javits program would cost fully used uh six hundred million dollars government per year six hundred million dollars state,1
1960-09-26,"Medical care for the aged, I would put under social security.",medical care aged would put social security,-1
1960-09-26,His has been in the legislative branch.,legislative branch,0
1960-09-26,I would say that the people now have the opportunity to evaluate his as against mine and I think both he and I are going to abide by whatever the people decide.,would say people opportunity evaluate mine think going abide whatever people decide,-1
1960-09-26,"Well, I'll just say that the question is of experience and the question also is uh - what our judgment is of the future, and what our goals are for the United States, and what ability we have to implement those goals.",well say question experience question also uh judgment future goals united states ability implement goals,-1
1960-09-26,Abraham Lincoln came to the presidency in 1860 after a rather little known uh - session in the House of Representatives and after being defeated for the Senate in fifty-eight and was a distinguished president.,abraham lincoln came presidency rather little known uh session house representatives defeated senate fifty eight distinguished president,1
1960-09-26,There's no certain road to the presidency.,certain road presidency,-1
1960-09-26,There are no guarantees that uh - if you take uh - one road or another that you will be a successful president.,guarantees uh take uh one road another successful president,-1
1960-09-26,I have been in the Congress for fourteen years.,congress fourteen years,0
1960-09-26,I have voted in the last uh - eight years uh - and the Vice President was uh - presiding over the Senate and meeting his other responsibilities.,voted last uh eight years uh vice president uh presiding senate meeting responsibilities,0
1960-09-26,"I have met met uh - decisions over eight hundred times on matters which affect not only the domestic security of the United States, but as a member of the Senate Foreign Relations Committee.",met met uh decisions eight hundred times matters affect domestic security united states member senate foreign relations committee,0
1960-09-26,The question really is: which candidate and which party can meet the problems that the United States is going to face in the sixties?,question really candidate party meet problems united states going face sixties,-1
1960-09-26,"I did not advocate reducing the federal debt because I don't believe that you're going to be able to reduce the federal debt very much in nineteen sixty-one, two, or three.",advocate reducing federal debt believe going able reduce federal debt much nineteen sixty one two three,1
1960-09-26,"I think you have heavy obligations which affect our security, which we're going to have to meet.",think heavy obligations affect security going meet,-1
1960-09-26,"And therefore I've never suggested we should uh - be able to retire the debt substantially, or even at all in nineteen sixty-one or two.",therefore never suggested uh able retire debt substantially even nineteen sixty one two,1
1960-09-26,Not reducing the interest -,reducing interest,-1
1960-09-26,- reducing the interest rate.,reducing interest rate,-1
1960-09-26,"In my judgment, the hard money, tight money policy, fiscal policy of this Administration has contributed to the slow-down in our economy, which helped bring the recession of fifty-four; which made the recession of fifty-eight rather intense, and which has slowed, somewhat, our economic activity in 1960.",judgment hard money tight money policy fiscal policy administration contributed slow economy helped bring recession fifty four made recession fifty eight rather intense slowed somewhat economic activity,-1
1960-09-26,"What I have talked about, however, the kind of programs that I've talked about, in my judgment, are uh - fiscally sound.",talked however kind programs talked judgment uh fiscally sound,-1
1960-09-26,The Vice President and I disagree on this.,vice president disagree,1
1960-09-26,Mine has been in the executive branch.,mine executive branch,0
1960-09-26,"If he unbalances the budget, that means you have inflation, and that will be, of course, a very cruel blow to the very people - the older people - that we've been talking about.",unbalances budget means inflation course cruel blow people older people talking,-1
1960-09-26,I'm awfully glad you ge- got that question because as you know I got into it at the last of my other question and wasn't able to complete the argument.,awfully glad ge got question know got last question able complete argument,-1
